year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2017,USA,DMA,ALL,131370829,0.01%
2017,USA,VCT,ALL,125674532.2,0.01%
2017,USA,MUS,ALL,122857940.4,0.01%
2017,USA,IRN,ALL,119874018,0.01%
2017,USA,COG,ALL,118678489.6,0.01%
2017,USA,ARM,ALL,117474535.9,0.01%
2017,USA,MHL,ALL,116338826,0.01%
2017,USA,UGA,ALL,114927895.1,0.01%
2017,USA,LBY,ALL,113521959,0.01%
2017,USA,ZMB,ALL,108674706,0.01%
2017,USA,LBR,ALL,106615761,0.01%
2017,USA,MDG,ALL,100644826.4,0.01%
2017,USA,DJI,ALL,98592190,0.01%
2017,USA,SDN,ALL,94451634.07,0.01%
2017,USA,CYP,ALL,89585617.26,0.01%
2017,USA,PYF,ALL,85678726,0.01%
2017,USA,GIN,ALL,83319516,0.01%
2017,USA,SLE,ALL,73995511.72,0.01%
2017,USA,GNQ,ALL,73006284,0.01%
2017,USA,NPL,ALL,72248269.57,0.01%
2017,USA,TKM,ALL,70980870,0.01%
2017,USA,FJI,ALL,66147122.64,0.01%
2017,USA,GRD,ALL,65508982,0.01%
2017,USA,MDA,ALL,65303200.71,0.01%
2017,USA,SOM,ALL,62599577,0.01%
2017,USA,COD,ALL,60932952,0.00%
2017,USA,GAB,ALL,57455012,0.00%
2017,USA,ALB,ALL,54522290.29,0.00%
2017,USA,PLW,ALL,52623481.77,0.00%
2017,USA,MAC,ALL,47232479,0.00%
2017,USA,WSM,ALL,46345006.5,0.00%
2017,USA,AIA,ALL,43045082,0.00%
2017,USA,UZB,ALL,42892269,0.00%
2017,USA,BFA,ALL,41468280,0.00%
2017,USA,GMB,ALL,36965779,0.00%
2017,USA,IOT,ALL,35146933,0.00%
2017,USA,FSM,ALL,34131126,0.00%
2017,USA,NCL,ALL,33703802,0.00%
2017,USA,BTN,ALL,33357768,0.00%
2017,USA,PNG,ALL,30918944,0.00%
2017,USA,ZWE,ALL,25193917,0.00%
2017,USA,NER,ALL,24445238,0.00%
2017,USA,LAO,ALL,23305609,0.00%
2017,USA,MNE,ALL,21342743.88,0.00%
2017,USA,SYC,ALL,19575253.57,0.00%
2017,USA,MWI,ALL,17129069,0.00%
2017,USA,TJK,ALL,16930484,0.00%
2017,USA,MDV,ALL,16749759,0.00%
2017,USA,TCD,ALL,16598032,0.00%
2017,USA,BDI,ALL,15397906.73,0.00%
2017,USA,TON,ALL,12886957,0.00%
2017,USA,CPV,ALL,10423189.74,0.00%
2017,USA,SSD,ALL,9681038,0.00%
2017,USA,SLB,ALL,8030569.57,0.00%
2017,USA,GRL,ALL,7817962,0.00%
2017,USA,TLS,ALL,7660724.06,0.00%
2017,USA,RWA,ALL,6682438,0.00%
2017,USA,MSR,ALL,6544395,0.00%
2017,USA,SYR,ALL,6447827,0.00%
2017,USA,CAF,ALL,6433813,0.00%
2017,USA,ERI,ALL,4470806,0.00%
2017,USA,STP,ALL,4283493.13,0.00%
2017,USA,COK,ALL,3526048,0.00%
2017,USA,VUT,ALL,3086058,0.00%
2017,USA,KIR,ALL,3085970,0.00%
2017,USA,GNB,ALL,3074952,0.00%
2017,USA,PSE,ALL,2135925,0.00%
2017,USA,AND,ALL,2023932,0.00%
2017,USA,ATF,ALL,1814035,0.00%
2017,USA,SMR,ALL,1794053,0.00%
2017,USA,COM,ALL,1272159,0.00%
2017,USA,TUV,ALL,700250,0.00%
2017,USA,TKL,ALL,623485,0.00%
2017,USA,SHN,ALL,563387,0.00%
2017,USA,CXR,ALL,401427,0.00%
2017,USA,SPM,ALL,352399,0.00%
2017,USA,CCK,ALL,252677,0.00%
2017,USA,WLF,ALL,137027,0.00%
2017,USA,NFK,ALL,125924,0.00%
2017,USA,NRU,ALL,112647,0.00%
2017,USA,FLK,ALL,84243,0.00%
2017,USA,NIU,ALL,71346,0.00%
2017,USA,PRK,ALL,2660,2.10E-09
